omsid,image_url,width,depth,height,canopy,style,taxonomy
206196321,https://images.homedepot-static.com/productImages/a5b66a79-8169-4b57-a67f-f18af7ee967e/svn/oil-rubbed-bronze-progress-lighting-chandeliers-p5188-10830k9-64_1000.jpg,12.125,12.125,10.5,4.94,Industrial,Lighting>Chandeliers
206196322,https://images.homedepot-static.com/productImages/ad66447c-343f-43d0-8f00-106e786fed05/svn/brushed-nickel-progress-lighting-chandeliers-p5197-0930k9-64_1000.jpg,16,16,13.25,5,Industrial,Lighting>Chandeliers
206196323,https://images.homedepot-static.com/productImages/8e54d8e8-cc31-44b2-ab46-e104fc69629a/svn/oil-rubbed-bronze-progress-lighting-chandeliers-p5197-10830k9-64_1000.jpg,16,16,13.25,5,Industrial,Lighting>Chandeliers
206197816,https://images.homedepot-static.com/productImages/3e2381fc-4664-44ec-9680-a2f7f4e6df97/svn/black-chrome-westinghouse-chandeliers-6401000-64_1000.jpg,12.13,12.13,61.5,5,Industrial,Lighting>Chandeliers
206197816,https://images.homedepot-static.com/productImages/01338a0c-c66d-4fcb-a18e-8e823420dcb9/svn/black-chrome-westinghouse-chandeliers-6401000-64_1000.jpg,12.13,12.13,61.5,5,Industrial,Lighting>Chandeliers
206197816,https://images.homedepot-static.com/productImages/4f7f2de6-cf27-4651-9430-f04f7ad454db/svn/black-chrome-westinghouse-chandeliers-6401000-64_1000.jpg,12.13,12.13,61.5,5,Industrial,Lighting>Chandeliers
206410104,https://images.homedepot-static.com/productImages/3153ecc8-8f7b-42b6-8d09-54fdde2892a5/svn/satin-platinum-designers-fountain-chandeliers-88085-sp-64_1000.jpg,21.25,24,11,0,Farmhouse,Lighting>Chandeliers
206410104,https://images.homedepot-static.com/productImages/e8e83149-da7e-4172-af9c-0c02ea28f681/svn/satin-platinum-designers-fountain-chandeliers-88085-sp-64_1000.jpg,21.25,24,11,0,Farmhouse,Lighting>Chandeliers
206410104,https://images.homedepot-static.com/productImages/5c596eb1-fe6b-4e8a-a3be-05538a94b808/svn/satin-platinum-designers-fountain-chandeliers-88085-sp-64_1000.jpg,21.25,24,11,0,Farmhouse,Lighting>Chandeliers
206462887,https://images.homedepot-static.com/productImages/1f50f1ab-ac3d-4faf-bfe1-a8697e0994ea/svn/black-tadpoles-chandeliers-cchash020-64_1000.jpg,15,15,18,4,Glam,Lighting>Chandeliers
206462887,https://images.homedepot-static.com/productImages/ee9ee795-663d-44db-9a39-03a0c2f294aa/svn/black-tadpoles-chandeliers-cchash020-64_1000.jpg,15,15,18,4,Glam,Lighting>Chandeliers
206462891,https://images.homedepot-static.com/productImages/1dc6d303-58c3-4502-9ed8-7a69c855d886/svn/pink-tadpoles-chandeliers-cchash004-64_1000.jpg,15,15,18,4,Glam,Lighting>Chandeliers
206462891,https://images.homedepot-static.com/productImages/59120f43-f64b-44a9-88ca-bfc2e20e9530/svn/pink-tadpoles-chandeliers-cchash004-64_1000.jpg,15,15,18,4,Glam,Lighting>Chandeliers
206462891,https://images.homedepot-static.com/productImages/19a3f4d1-c509-4e6d-8c57-7d996ea1d091/svn/pink-tadpoles-chandeliers-cchash004-64_1000.jpg,15,15,18,4,Glam,Lighting>Chandeliers
206467640,https://images.homedepot-static.com/productImages/151f5794-052b-46e9-9d72-87f91abf3310/svn/satin-nickel-yosemite-home-decor-chandeliers-sc20538-8u-sn-64_1000.jpg,31.5,31.5,9,4.7,Glam,Lighting>Chandeliers
206647309,https://images.homedepot-static.com/productImages/ed891228-4e90-43f7-8bd7-f24496118191/svn/blackened-oil-rubbed-bronze-kenroy-home-chandeliers-93247orb-64_1000.jpg,48,13.5,7.5,0.87,Industrial,Lighting>Chandeliers
206647309,https://images.homedepot-static.com/productImages/48950403-9ed9-4745-b02f-a91820c08d01/svn/blackened-oil-rubbed-bronze-kenroy-home-chandeliers-93247orb-64_1000.jpg,48,13.5,7.5,0.87,Industrial,Lighting>Chandeliers
206647309,https://images.homedepot-static.com/productImages/a81dc1ed-8c40-4265-9ebf-49a5f97fbb3a/svn/blackened-oil-rubbed-bronze-kenroy-home-chandeliers-93247orb-64_1000.jpg,48,13.5,7.5,0.87,Industrial,Lighting>Chandeliers
